Filename,AmazonAPI,AzureAPI,GoogleAPI
sample-000211.wav,True,True,False
sample-000212.wav,False,True,False
sample-000213.wav,True,True,True
sample-000214.wav,True,False,-1
sample-000215.wav,True,True,False
sample-000216.wav,False,False,False
sample-000217.wav,True,False,True
sample-000218.wav,True,True,False
sample-000219.wav,True,True,True
sample-000220.wav,True,False,False
sample-000221.wav,True,True,False
sample-000222.wav,True,True,True
sample-000223.wav,True,True,-1
sample-000224.wav,True,True,False
sample-000225.wav,False,True,False
sample-000226.wav,True,True,True
sample-000227.wav,True,True,True
sample-000228.wav,False,False,False
sample-000229.wav,True,True,True
sample-000230.wav,False,False,False
sample-000231.wav,True,True,True
sample-000232.wav,True,False,False
sample-000233.wav,True,True,False
sample-000234.wav,True,True,False
sample-000235.wav,True,True,-1
sample-000236.wav,False,True,False
sample-000237.wav,False,False,False
sample-000238.wav,True,True,False
sample-000239.wav,False,False,False
sample-000240.wav,False,True,False
sample-000241.wav,True,True,False
sample-000242.wav,True,True,False
sample-000243.wav,True,True,False
sample-000244.wav,True,True,True
sample-000245.wav,True,True,False
sample-000246.wav,True,True,False
sample-000247.wav,True,True,False
sample-000248.wav,True,True,True
sample-000249.wav,False,False,False
sample-000250.wav,True,True,False
sample-000251.wav,True,True,False
sample-000252.wav,False,False,False
sample-000253.wav,False,False,False
sample-000254.wav,True,True,False
sample-000255.wav,True,True,False
sample-000256.wav,True,True,False
sample-000257.wav,False,False,False
sample-000258.wav,False,False,False
sample-000259.wav,True,True,False
sample-000260.wav,False,True,False
sample-000261.wav,False,False,False
sample-000262.wav,True,True,True
sample-000263.wav,True,True,True
sample-000264.wav,True,False,False
sample-000265.wav,True,False,False
sample-000266.wav,True,True,True
sample-000267.wav,False,True,False
sample-000268.wav,False,True,False
sample-000269.wav,False,True,False
sample-000270.wav,False,False,False
sample-000271.wav,True,True,True
sample-000272.wav,False,False,False
sample-000273.wav,True,False,False
sample-000274.wav,True,True,False
sample-000275.wav,False,True,False
sample-000276.wav,False,True,False
sample-000277.wav,True,True,False
sample-000278.wav,True,True,False
