Filename,WitAPI,SphixAPI
sample-000244.wav,False,False
sample-000245.wav,False,False
sample-000246.wav,False,False
sample-000247.wav,False,False
sample-000248.wav,False,False
sample-000249.wav,False,False
sample-000250.wav,True,False
sample-000251.wav,False,False
sample-000252.wav,False,False
sample-000253.wav,False,False
sample-000254.wav,True,False
sample-000255.wav,False,False
sample-000256.wav,False,False
sample-000257.wav,False,False
sample-000258.wav,False,False
sample-000259.wav,False,False
sample-000260.wav,False,False
sample-000261.wav,False,False
sample-000262.wav,True,True
sample-000263.wav,False,False
sample-000264.wav,False,False
sample-000265.wav,False,False
sample-000266.wav,False,True
sample-000267.wav,False,False
sample-000268.wav,False,False
sample-000269.wav,False,False
sample-000270.wav,False,False
sample-000271.wav,True,False
sample-000272.wav,False,False
sample-000273.wav,False,False
sample-000274.wav,True,True
sample-000275.wav,False,False
sample-000276.wav,False,False
sample-000277.wav,False,False
sample-000278.wav,False,False
sample-000279.wav,False,False
sample-000280.wav,False,False
sample-000281.wav,False,False
sample-000282.wav,False,False
sample-000283.wav,False,False
sample-000284.wav,False,True
sample-000285.wav,False,False
sample-000286.wav,False,False
sample-000287.wav,False,False
sample-000288.wav,False,False
sample-000289.wav,False,True
sample-000290.wav,True,False
sample-000291.wav,False,False
sample-000292.wav,False,False
sample-000293.wav,False,False
sample-000294.wav,False,False
sample-000295.wav,False,False
sample-000296.wav,False,False
sample-000297.wav,True,False
sample-000298.wav,True,False
sample-000299.wav,False,False
sample-000300.wav,False,False
sample-000301.wav,False,False
sample-000302.wav,False,False
sample-000303.wav,False,False
sample-000304.wav,False,False
sample-000305.wav,False,False
sample-000306.wav,False,False
sample-000307.wav,True,False
sample-000308.wav,False,False
sample-000309.wav,False,False
sample-000310.wav,False,False
sample-000311.wav,False,False
sample-000312.wav,False,False
sample-000313.wav,False,False
sample-000314.wav,False,False
sample-000315.wav,True,False
sample-000316.wav,True,False
sample-000317.wav,True,False
sample-000318.wav,False,False
sample-000319.wav,False,False
sample-000320.wav,False,False
sample-000321.wav,False,False
sample-000322.wav,False,False
sample-000323.wav,False,False
sample-000324.wav,False,False
sample-000325.wav,False,False
sample-000326.wav,True,False
sample-000327.wav,False,False
sample-000328.wav,False,False
sample-000329.wav,False,False
sample-000330.wav,False,False
sample-000331.wav,False,False
sample-000332.wav,True,True
sample-000333.wav,False,False
sample-000334.wav,False,False
sample-000335.wav,False,False
sample-000336.wav,False,False
sample-000337.wav,False,False
sample-000338.wav,True,False
sample-000339.wav,False,True
sample-000340.wav,False,False
sample-000341.wav,False,False
sample-000342.wav,False,False
sample-000343.wav,False,False
sample-000344.wav,False,False
sample-000345.wav,False,False
sample-000346.wav,False,False
sample-000347.wav,False,False
sample-000348.wav,False,False
sample-000349.wav,True,False
sample-000350.wav,False,False
sample-000351.wav,False,False
sample-000352.wav,True,True
sample-000353.wav,False,False
sample-000354.wav,False,False
sample-000355.wav,False,False
sample-000356.wav,False,False
sample-000357.wav,False,False
sample-000358.wav,False,False
sample-000359.wav,False,False
sample-000360.wav,False,False
sample-000361.wav,False,False
sample-000362.wav,False,False
sample-000363.wav,False,False
sample-000364.wav,False,False
sample-000365.wav,False,False
sample-000366.wav,False,False
sample-000367.wav,False,False
sample-000368.wav,False,False
sample-000369.wav,False,False
sample-000370.wav,False,False
sample-000371.wav,False,False
sample-000372.wav,True,False
sample-000373.wav,False,False
sample-000374.wav,False,False
sample-000375.wav,False,False
sample-000376.wav,False,False
sample-000377.wav,False,False
sample-000378.wav,False,False
sample-000379.wav,False,False
sample-000380.wav,False,True
sample-000381.wav,False,False
sample-000382.wav,False,False
sample-000383.wav,False,False
sample-000384.wav,False,False
sample-000385.wav,False,False
sample-000386.wav,False,False
sample-000387.wav,False,False
sample-000388.wav,False,False
sample-000389.wav,False,False
sample-000390.wav,False,False
sample-000391.wav,False,False
sample-000392.wav,False,False
sample-000393.wav,False,False
sample-000394.wav,False,False
sample-000395.wav,False,False
sample-000396.wav,True,True
sample-000397.wav,False,False
sample-000398.wav,False,False
sample-000399.wav,False,False
sample-000400.wav,False,False
sample-000401.wav,False,False
sample-000402.wav,False,False
sample-000403.wav,False,True
sample-000404.wav,True,False
sample-000405.wav,True,False
sample-000406.wav,False,False
sample-000407.wav,False,False
