Filename,GoogleAPI,AzureAPI
croatian7.wav,False,False
croatian8.wav,False,False
czech1.wav,False,False
czech2.wav,False,False
czech3.wav,False,False
czech4.wav,False,False
czech5.wav,False,False
czech6.wav,False,False
czech7.wav,False,False
czech8.wav,False,False
czech9.wav,False,False
danish1.wav,False,False
danish2.wav,False,False
danish3.wav,False,False
danish4.wav,False,False
danish5.wav,False,False
danish6.wav,False,False
danish7.wav,False,False
danish8.wav,False,False
dari1.wav,False,False
dari2.wav,False,False
dari3.wav,False,False
dari4.wav,False,False
dari5.wav,False,False
dinka1.wav,False,False
dutch1.wav,False,False
dutch10.wav,False,False
dutch11.wav,False,False
dutch12.wav,False,False
dutch13.wav,False,False
dutch14.wav,False,False
dutch15.wav,False,False
dutch16.wav,False,False
dutch17.wav,False,False
dutch18.wav,False,False
dutch19.wav,False,False
dutch2.wav,False,False
dutch20.wav,False,False
dutch21.wav,False,False
dutch22.wav,False,False
dutch23.wav,False,False
dutch24.wav,False,False
dutch25.wav,False,False
dutch26.wav,False,False
dutch27.wav,False,False
dutch28.wav,False,False
dutch29.wav,False,False
dutch3.wav,False,False
dutch30.wav,False,False
dutch31.wav,False,False
dutch32.wav,False,False
dutch33.wav,False,False
dutch34.wav,False,False
dutch35.wav,False,False
dutch36.wav,False,False
dutch37.wav,False,False
dutch38.wav,False,False
dutch39.wav,False,False
dutch4.wav,False,False
dutch40.wav,False,False
dutch41.wav,False,False
dutch42.wav,False,False
dutch43.wav,False,False
dutch44.wav,False,False
dutch45.wav,False,False
dutch46.wav,False,False
dutch47.wav,False,False
dutch5.wav,False,False
dutch6.wav,False,False
dutch7.wav,False,False
dutch8.wav,False,False
dutch9.wav,False,False
ebira1.wav,False,False
edo1.wav,False,False
english1.wav,False,False
english10.wav,False,False
english100.wav,-1,False
english101.wav,False,False
english102.wav,False,False
english103.wav,False,False
english104.wav,False,False
english105.wav,False,False
english106.wav,False,False
english107.wav,False,False
english108.wav,False,False
english109.wav,False,False
english11.wav,False,False
english110.wav,False,False
english111.wav,False,False
english112.wav,False,False
english113.wav,False,False
english114.wav,False,False
english115.wav,False,False
english116.wav,False,False
english117.wav,False,False
english118.wav,False,False
english119.wav,False,False
english12.wav,False,False
english120.wav,False,False
english121.wav,False,False
english122.wav,False,False
english123.wav,False,False
english124.wav,False,False
english125.wav,False,False
english126.wav,False,False
english127.wav,False,False
english128.wav,False,False
english129.wav,False,False
english13.wav,False,False
english130.wav,False,False
english131.wav,False,False
english132.wav,False,False
english133.wav,False,False
english134.wav,False,False
english135.wav,False,False
english136.wav,False,False
english137.wav,False,False
english138.wav,False,False
english139.wav,False,False
english14.wav,False,False
english140.wav,False,False
english141.wav,False,False
english142.wav,False,False
english143.wav,False,False
english144.wav,False,False
english145.wav,False,False
english146.wav,False,False
english147.wav,False,False
english148.wav,False,False
english149.wav,False,False
english15.wav,False,False
english150.wav,False,False
english151.wav,False,False
english152.wav,False,False
english153.wav,False,False
english154.wav,False,False
english155.wav,False,False
english156.wav,False,False
english157.wav,False,False
english158.wav,False,False
english159.wav,False,False
english16.wav,False,False
english160.wav,False,False
english161.wav,False,False
english162.wav,False,False
english163.wav,False,False
english164.wav,False,False
english165.wav,False,False
english166.wav,False,False
english167.wav,False,False
english168.wav,False,False
english169.wav,False,False
english17.wav,False,False
english170.wav,False,False
english171.wav,False,False
english172.wav,False,False
english173.wav,False,False
english174.wav,False,False
english175.wav,False,False
english176.wav,False,False
english177.wav,False,False
english178.wav,False,False
english179.wav,False,False
english18.wav,False,False
english180.wav,False,False
english181.wav,False,False
english182.wav,False,False
english183.wav,False,False
english184.wav,False,False
english185.wav,False,False
english186.wav,False,False
english187.wav,False,False
english188.wav,False,False
english189.wav,False,False
english19.wav,False,False
english190.wav,False,False
english191.wav,False,False
english192.wav,False,False
english193.wav,False,False
english194.wav,False,False
english195.wav,False,False
english196.wav,False,False
english197.wav,False,False
english198.wav,False,False
english199.wav,False,False
english2.wav,False,False
english20.wav,False,False
english200.wav,False,False
english201.wav,False,False
english202.wav,False,False
english203.wav,False,False
english204.wav,False,False
english205.wav,False,False
english206.wav,False,False
english207.wav,False,False
english208.wav,False,False
english209.wav,False,False
english21.wav,False,False
english210.wav,False,False
english211.wav,False,False
english212.wav,False,False
english213.wav,False,False
english214.wav,False,False
english215.wav,False,False
english216.wav,False,False
english217.wav,False,False
english218.wav,False,False
english219.wav,False,False
english22.wav,False,False
english220.wav,False,False
english221.wav,False,False
english222.wav,False,False
english223.wav,False,False
english224.wav,False,False
english225.wav,False,False
english226.wav,False,False
english227.wav,False,False
english228.wav,False,False
english229.wav,False,False
english23.wav,False,False
english230.wav,False,False
english231.wav,False,False
english232.wav,False,False
english233.wav,False,False
english234.wav,False,False
english235.wav,False,False
english236.wav,False,False
english237.wav,False,False
english238.wav,False,False
english239.wav,False,False
english24.wav,False,False
english240.wav,False,False
english241.wav,False,False
english242.wav,False,False
english243.wav,False,False
english244.wav,False,False
english245.wav,False,False
english246.wav,False,False
english247.wav,False,False
english248.wav,False,False
english249.wav,False,False
english25.wav,False,False
english250.wav,False,False
english251.wav,False,False
english252.wav,False,False
english253.wav,False,False
english254.wav,False,False
english255.wav,False,False
english256.wav,False,False
english257.wav,False,False
english258.wav,False,False
english259.wav,False,False
english26.wav,False,False
english260.wav,False,False
english261.wav,False,False
english262.wav,False,False
english263.wav,False,False
english264.wav,False,False
english265.wav,False,False
english266.wav,False,False
english267.wav,False,False
english268.wav,False,False
english269.wav,False,False
english27.wav,False,False
english270.wav,False,False
english271.wav,False,False
english272.wav,False,False
english273.wav,False,False
english274.wav,False,False
english275.wav,False,False
english276.wav,False,False
english277.wav,False,False
english278.wav,False,False
english279.wav,False,False
english28.wav,False,False
english280.wav,False,False
english281.wav,False,False
english282.wav,False,False
english283.wav,False,False
english284.wav,False,False
english285.wav,False,False
english286.wav,False,False
english287.wav,False,False
english288.wav,False,False
english289.wav,False,False
english29.wav,False,False
english290.wav,False,False
english291.wav,False,False
english292.wav,False,False
english293.wav,False,False
english294.wav,False,False
english295.wav,False,False
english296.wav,False,False
english297.wav,False,False
english298.wav,False,False
english299.wav,False,False
english3.wav,False,False
english30.wav,False,False
english300.wav,False,False
english301.wav,False,False
english302.wav,False,False
english303.wav,False,False
english304.wav,False,False
english305.wav,False,False
english306.wav,False,False
english307.wav,False,False
english308.wav,False,False
english309.wav,False,False
english31.wav,False,False
english310.wav,False,False
english311.wav,False,False
english312.wav,False,False
english313.wav,False,False
english314.wav,False,False
english315.wav,False,False
english316.wav,False,False
english317.wav,False,False
english318.wav,False,False
english319.wav,False,False
english32.wav,False,False
english320.wav,False,False
english321.wav,False,False
english322.wav,False,False
english323.wav,False,False
english324.wav,False,False
english325.wav,False,False
english326.wav,False,False
english327.wav,False,False
english328.wav,False,False
english329.wav,False,False
english33.wav,False,False
english330.wav,False,False
english331.wav,False,False
english332.wav,False,False
english333.wav,False,False
english334.wav,False,False
english335.wav,False,False
english336.wav,False,False
english337.wav,False,False
english338.wav,False,False
english339.wav,False,False
english34.wav,False,False
english340.wav,False,False
english341.wav,False,False
english342.wav,False,False
english343.wav,False,False
english344.wav,False,False
english345.wav,False,False
english346.wav,False,False
english347.wav,False,False
english348.wav,False,False
english349.wav,False,False
english35.wav,False,False
english350.wav,False,False
english351.wav,False,False
english352.wav,False,False
english353.wav,False,False
english354.wav,False,False
english355.wav,False,False
english356.wav,False,False
english357.wav,False,False
english358.wav,False,False
english359.wav,False,False
english36.wav,False,False
english360.wav,False,False
english361.wav,False,False
english362.wav,False,False
english363.wav,False,False
english364.wav,False,False
english365.wav,False,False
english366.wav,False,False
english367.wav,False,False
english368.wav,False,False
english369.wav,False,False
english37.wav,False,False
english370.wav,False,False
english371.wav,False,False
english372.wav,False,False
english373.wav,False,False
english374.wav,False,False
english375.wav,False,False
english376.wav,False,False
english377.wav,False,False
english378.wav,False,False
english379.wav,False,False
english38.wav,False,False
english380.wav,False,False
english381.wav,False,False
english382.wav,False,False
english383.wav,False,False
english384.wav,False,False
english385.wav,False,False
english386.wav,False,False
english387.wav,False,False
english388.wav,False,False
english389.wav,False,False
english39.wav,False,False
english390.wav,False,False
english391.wav,False,False
english392.wav,False,False
english393.wav,False,False
english394.wav,False,False
english395.wav,False,False
english396.wav,False,False
english397.wav,False,False
english398.wav,False,False
english399.wav,False,False
english4.wav,False,False
english40.wav,False,False
english400.wav,False,False
english401.wav,False,False
english402.wav,False,False
english403.wav,False,False
english404.wav,False,False
english405.wav,False,False
english406.wav,False,False
english407.wav,False,False
english408.wav,False,False
english409.wav,False,False
english41.wav,False,False
english410.wav,False,False
english411.wav,False,False
english412.wav,False,False
english413.wav,False,False
english414.wav,False,False
english415.wav,False,False
english416.wav,False,False
english417.wav,False,False
english418.wav,False,False
english419.wav,False,False
english42.wav,False,False
english420.wav,False,False
english421.wav,False,False
english422.wav,False,False
english423.wav,False,False
english424.wav,False,False
english425.wav,False,False
english426.wav,False,False
english427.wav,False,False
english428.wav,False,False
english429.wav,False,False
english43.wav,False,False
english430.wav,False,False
english431.wav,False,False
english432.wav,False,False
english433.wav,False,False
english434.wav,False,False
english435.wav,False,False
english436.wav,False,False
english437.wav,False,False
english438.wav,False,False
english439.wav,False,False
english44.wav,False,False
english440.wav,False,False
english441.wav,False,False
english442.wav,False,False
english443.wav,False,False
english444.wav,False,False
english445.wav,False,False
english446.wav,False,False
english447.wav,False,False
english448.wav,False,False
english449.wav,False,False
english45.wav,False,False
english450.wav,False,False
english451.wav,False,False
english452.wav,False,False
english453.wav,False,False
english454.wav,False,False
english455.wav,False,False
english456.wav,False,False
english457.wav,False,False
english458.wav,False,False
english459.wav,False,False
english46.wav,False,False
english460.wav,False,False
english461.wav,False,False
english462.wav,False,False
english463.wav,False,False
english464.wav,False,False
english465.wav,False,False
english466.wav,False,False
english467.wav,False,False
english468.wav,False,False
english469.wav,False,False
english47.wav,False,False
english470.wav,False,False
english471.wav,False,False
english472.wav,False,False
english473.wav,False,False
english474.wav,False,False
english475.wav,False,False
english476.wav,False,False
english477.wav,False,False
english478.wav,False,False
english479.wav,False,False
english48.wav,False,False
english480.wav,False,False
english481.wav,False,False
english482.wav,False,False
english483.wav,False,False
english484.wav,False,False
english485.wav,False,False
english486.wav,False,False
english487.wav,False,False
english488.wav,False,False
english489.wav,False,False
english49.wav,False,False
english490.wav,False,False
english491.wav,False,False
english492.wav,False,False
english493.wav,False,False
english494.wav,False,False
english495.wav,False,False
english496.wav,False,False
english497.wav,False,False
english498.wav,False,False
english499.wav,False,False
english5.wav,False,False
english50.wav,False,False
english500.wav,False,False
english501.wav,False,False
english502.wav,False,False
english503.wav,False,False
english504.wav,False,False
english505.wav,False,False
english506.wav,False,False
english507.wav,False,False
english508.wav,False,False
english509.wav,False,False
english51.wav,False,False
english510.wav,False,False
english511.wav,False,False
english512.wav,False,False
english513.wav,False,False
english514.wav,False,False
english515.wav,False,False
english516.wav,False,False
english517.wav,False,False
english518.wav,False,False
english519.wav,False,False
english52.wav,False,False
english520.wav,False,False
english521.wav,False,False
english522.wav,False,False
english523.wav,False,False
english524.wav,False,False
english525.wav,False,False
english526.wav,False,False
english527.wav,False,False
english528.wav,False,False
english529.wav,False,False
english53.wav,False,False
english530.wav,False,False
english531.wav,False,False
english532.wav,False,False
english533.wav,False,False
english534.wav,False,False
english535.wav,False,False
english536.wav,False,False
english537.wav,False,False
english538.wav,False,False
english539.wav,False,False
english54.wav,False,False
english540.wav,False,False
english541.wav,False,False
english542.wav,False,False
english543.wav,False,False
english544.wav,False,False
english545.wav,False,False
english546.wav,False,False
english547.wav,False,False
english548.wav,False,False
english549.wav,False,False
english55.wav,False,False
english550.wav,False,False
english551.wav,False,False
english552.wav,False,False
english553.wav,False,False
english554.wav,False,False
english555.wav,False,False
english556.wav,False,False
english557.wav,False,False
english558.wav,False,False
english559.wav,False,False
english56.wav,False,False
english560.wav,False,False
english561.wav,False,False
english562.wav,False,False
english563.wav,False,False
english564.wav,False,False
english565.wav,False,False
english566.wav,False,False
english567.wav,False,False
english568.wav,False,False
english569.wav,False,False
english57.wav,False,False
english570.wav,False,False
english571.wav,False,False
english572.wav,False,False
english573.wav,False,False
english574.wav,False,False
english575.wav,False,False
english576.wav,False,False
english577.wav,False,False
english578.wav,False,False
english579.wav,False,False
english58.wav,False,False
english59.wav,False,False
english6.wav,False,False
english60.wav,False,False
english61.wav,False,False
english62.wav,False,False
english63.wav,False,False
english64.wav,False,False
english65.wav,False,False
english66.wav,False,False
english67.wav,False,False
english68.wav,False,False
english69.wav,False,False
english7.wav,False,False
english70.wav,False,False
english71.wav,False,False
english72.wav,False,False
english73.wav,False,False
english74.wav,False,False
english75.wav,False,False
english76.wav,False,False
english77.wav,False,False
english78.wav,False,False
english79.wav,False,False
english8.wav,False,False
english80.wav,False,False
english81.wav,False,False
english82.wav,False,False
english83.wav,False,False
english84.wav,False,False
english85.wav,False,False
english86.wav,False,False
english87.wav,False,False
english88.wav,False,False
english89.wav,False,False
english9.wav,False,False
english90.wav,False,False
english91.wav,False,False
english92.wav,False,False
english93.wav,False,False
english94.wav,False,False
english95.wav,False,False
english96.wav,False,False
english97.wav,False,False
english98.wav,False,False
english99.wav,False,False
estonian1.wav,False,False
estonian2.wav,False,False
estonian3.wav,False,False
estonian4.wav,False,False
ewe1.wav,False,False
ewe2.wav,False,False
fang1.wav,False,False
fanti1.wav,False,False
fanti2.wav,False,False
fanti3.wav,False,False
faroese1.wav,False,False
farsi1.wav,False,False
farsi10.wav,False,False
farsi11.wav,False,False
farsi12.wav,False,False
farsi13.wav,False,False
farsi14.wav,False,False
farsi15.wav,False,False
farsi16.wav,False,False
farsi17.wav,False,False
farsi18.wav,False,False
farsi19.wav,False,False
farsi2.wav,False,False
farsi20.wav,False,False
farsi21.wav,False,False
farsi22.wav,False,False
farsi23.wav,False,False
farsi3.wav,False,False
farsi4.wav,False,False
farsi5.wav,False,False
farsi6.wav,False,False
farsi7.wav,False,False
farsi8.wav,False,False
farsi9.wav,False,False
fataluku1.wav,False,False
fijian1.wav,False,False
fijian2.wav,False,False
fijian3.wav,False,False
filipino1.wav,False,False
filipino2.wav,False,False
finnish1.wav,False,False
finnish2.wav,False,False
finnish3.wav,False,False
finnish4.wav,False,False
finnish5.wav,False,False
finnish6.wav,False,False
finnish7.wav,False,False
finnish8.wav,False,False
french1.wav,False,False
french10.wav,False,False
french11.wav,False,False
french12.wav,False,False
french13.wav,False,False
french14.wav,False,False
french15.wav,False,False
french16.wav,False,False
french17.wav,False,False
french18.wav,False,False
french19.wav,False,False
french2.wav,False,False
french20.wav,False,False
french21.wav,False,False
french22.wav,False,False
french23.wav,False,False
french24.wav,False,False
french25.wav,False,False
french26.wav,False,False
french27.wav,False,False
french28.wav,False,False
french29.wav,False,False
french3.wav,False,False
french30.wav,False,False
french31.wav,False,False
french32.wav,False,False
french33.wav,False,False
french34.wav,False,False
french35.wav,False,False
